date,close price,arithmetic price change ,log change price,standerd diviation * sqrt(250),volatility
2017-01-03,127.49,-0.014836566,-0.0149477287,0.2738519733,27.39%
2017-01-04,129.41,-0.0182080267,-0.0183758329,-,-
2017-01-05,131.81,0.0056458381,0.0056299601,-,-
2017-01-06,131.07,0.0009163803,0.0009159607,-,-
2017-01-09,130.95,0.0081607514,0.0081276325,-,-
2017-01-10,129.89,-0.0046743295,-0.0046852883,-,-
2017-01-11,130.5,0.0102183,0.0101664462,-,-
2017-01-12,129.18,-0.0338070307,-0.0343917035,-,-
2017-01-13,133.7,0.0060952668,0.0060767658,-,-
2017-01-17,132.89,-0.0027765271,-0.0027803888,-,-
2017-01-18,133.26,-0.0372082942,-0.0379181878,-,-
2017-01-19,138.41,-0.0013708514,-0.0013717918,-,-
2017-01-20,138.6,0.0088070456,0.0087684898,-,-
2017-01-23,137.39,-0.0194133181,-0.0196042314,-,-
2017-01-24,140.11,0.0042287844,0.0042198682,-,-
2017-01-25,139.52,0.0040299367,0.0040218382,-,-
2017-01-26,138.96,-0.0244998245,-0.024804939,-,-
2017-01-27,142.45,0.0087098145,0.0086721029,-,-
2017-01-30,141.22,0.0036244759,0.0036179233,-,-
2017-01-31,140.71,-0.0004972297,-0.0004973534,-,-
2017-02-01,140.78,0.0113505747,0.0112866403,-,-
2017-02-02,139.2,-0.007486631,-0.0075147965,-,-
2017-02-03,140.25,-0.0051074697,-0.0051205574,-,-
2017-02-06,140.97,-0.0210416667,-0.0212661978,-,-
2017-02-07,144,-0.0051126157,-0.0051257299,-,-
2017-02-08,144.74,0.0041626197,0.0041539799,-,-
2017-02-09,144.14,-0.004695484,-0.0047065425,-,-
2017-02-10,144.82,0.0113128492,0.0112493374,-,-
2017-02-13,143.2,0.0169010084,0.0167597754,-,-
2017-02-14,140.82,-0.0101918887,-0.0102441816,-,-
2017-02-15,142.27,0.001830857,0.001829183,-,-
2017-02-16,142.01,-0.0014765856,-0.0014776768,-,-
2017-02-17,142.22,-0.0026647966,-0.0026683535,-,-
2017-02-21,142.6,-0.0087585152,-0.0087970965,-,-
2017-02-22,143.86,0.0075640846,0.0075356204,-,-
2017-02-23,142.78,-0.0032809773,-0.0032863715,-,-
2017-02-24,143.25,-0.0011156823,-0.0011163051,-,-
2017-02-27,143.41,0.0090058397,0.008965529,-,-
2017-02-28,142.13,-0.0036452857,-0.0036519459,-,-
2017-03-01,142.65,0.0223607826,0.0221144458,-,-
2017-03-02,139.53,0.0028029323,0.0027990114,-,-
2017-03-03,139.14,-0.0197266451,-0.0199238126,-,-
2017-03-06,141.94,0.0036060242,0.0035995381,-,-
2017-03-07,141.43,0.0079104903,0.0078793664,-,-
2017-03-08,140.32,-0.0014943428,-0.0014954605,-,-
2017-03-09,140.53,-0.0025551849,-0.002558455,-,-
2017-03-10,140.89,-0.0183249721,-0.0184949542,-,-
2017-03-13,143.52,0.0023046302,0.0023019786,-,-
2017-03-14,143.19,-0.0141824441,-0.014283976,-,-
2017-03-15,145.25,0.0059560911,0.0059384237,-,-
2017-03-16,144.39,-0.0049617532,-0.0049741035,-,-
2017-03-17,145.11,-0.0049372557,-0.0049494842,-,-
2017-03-20,145.83,0.0239432664,0.0236611212,-,-
2017-03-21,142.42,-0.0016123379,-0.0016136391,-,-
2017-03-22,142.65,0.0057106599,0.0056944159,-,-
2017-03-23,141.84,-0.0012674271,-0.001268231,-,-
2017-03-24,142.02,-0.0141607663,-0.0142619867,-,-
2017-03-27,144.06,-0.0076462079,-0.00767559,-,-
2017-03-28,145.17,-0.0088755377,-0.0089151599,-,-
2017-03-29,146.47,-0.0107388896,-0.0107969677,-,-
2017-03-30,148.06,0.0016913605,0.0016899318,-,-
2017-03-31,147.81,0.0060577185,0.0060394443,-,-
2017-04-03,146.92,0.0097594502,0.0097121343,-,-
2017-04-04,145.5,0.0130900989,0.0130051639,-,-
2017-04-05,143.62,-0.0008348407,-0.0008351894,-,-
2017-04-06,143.74,0.0044022081,0.0043925467,-,-
2017-04-07,143.11,-0.0051442475,-0.0051575247,-,-
2017-04-10,143.85,-0.0034638033,-0.0034698161,-,-
2017-04-11,144.35,0.0036153793,0.0036088595,-,-
2017-04-12,143.83,0.0063671984,0.0063470135,-,-
2017-04-13,142.92,-0.0294057725,-0.0298467894,-,-
2017-04-17,147.25,0.0271344866,0.0267728733,-,-
2017-04-18,143.36,0.025758443,0.0254322834,-,-
2017-04-19,139.76,-0.0100580819,-0.0101090061,-,-
2017-04-20,141.18,-0.0118289354,-0.0118994539,-,-
2017-04-21,142.87,-0.0066745463,-0.0066969207,-,-
2017-04-24,143.83,-0.0547450053,-0.0563005522,-,-
2017-04-25,152.16,0.0132516481,0.0131646131,-,-
2017-04-26,150.17,-0.0190096681,-0.0191926749,-,-
2017-04-27,153.08,0.005781866,0.0057652151,-,-
2017-04-28,152.2,-0.0202767943,-0.0204851904,-,-
2017-05-01,155.35,-0.0070310003,-0.0070558343,-,-
2017-05-02,156.45,0.0055273475,0.0055121278,-,-
2017-05-03,155.59,-0.0105564388,-0.0106125533,-,-
2017-05-04,157.25,0.0041507024,0.004142112,-,-
2017-05-05,156.6,0.0014068295,0.0014058409,-,-
2017-05-08,156.38,-0.0068588848,-0.0068825151,-,-
2017-05-09,157.46,-0.0175942101,-0.017750828,-,-
2017-05-10,160.28,0.0109751482,0.0109153584,-,-
