date,Close-price,arithmettic price change,Log Price change,Standerd deviation * sqrt(250),Volatility
2017-01-03,753.67,-0.0046356216,-0.0046463995,1.0203699364,102.04%
2017-01-04,757.18,-0.0307324546,-0.0302696705,-,-
2017-01-05,780.45,-0.0199115895,-0.0197159465,-,-
2017-01-06,795.99,-0.0011683564,-0.0011676744,-,-
2017-01-09,796.92,0.0012799277,0.0012807475,-,-
2017-01-10,795.9,-0.0039200905,-0.0039124269,-,-
2017-01-11,799.02,-0.0182974143,-0.018132031,-,-
2017-01-12,813.64,-0.0043016568,-0.0042924311,-,-
2017-01-13,817.14,0.0090804513,0.0091219299,-,-
2017-01-17,809.72,0.0027663884,0.0027702219,-,-
2017-01-18,807.48,-0.0019319364,-0.0019300726,-,-
2017-01-19,809.04,0.0008775833,0.0008779686,-,-
2017-01-20,808.33,-0.0118144817,-0.0117452356,-,-
2017-01-23,817.88,-0.00557539,-0.0055599051,-,-
2017-01-24,822.44,-0.0171197899,-0.0169748976,-,-
2017-01-25,836.52,-0.0031439774,-0.0031390455,-,-
2017-01-26,839.15,0.0040278854,0.0040360191,-,-
2017-01-27,835.77,0.0064491427,0.0064700283,-,-
2017-01-30,830.38,0.0083094487,0.0083441646,-,-
2017-01-31,823.48,-0.0107713606,-0.0107137627,-,-
2017-02-01,832.35,-0.0091307743,-0.0090893408,-,-
2017-02-02,839.95,0.0354187749,0.0360612355,-,-
2017-02-03,810.2,0.0031597137,0.0031647161,-,-
2017-02-06,807.64,-0.0060175326,-0.0059994995,-,-
2017-02-07,812.5,-0.0088738462,-0.008834705,-,-
2017-02-08,819.71,-0.002012907,-0.0020108838,-,-
2017-02-09,821.36,-0.0074267069,-0.0073992647,-,-
2017-02-10,827.46,-0.0109612549,-0.0109016158,-,-
2017-02-13,836.53,0.000167358,0.000167372,-,-
2017-02-14,836.39,-0.0075443274,-0.0075160113,-,-
2017-02-15,842.7,-0.0017087932,-0.0017073348,-,-
2017-02-16,844.14,-0.001101713,-0.0011011065,-,-
2017-02-17,845.07,-0.0134545067,-0.0133647986,-,-
2017-02-21,856.44,0.000969128,0.0009695979,-,-
2017-02-22,855.61,0.0039971482,0.0040051582,-,-
2017-02-23,852.19,0.0081554583,0.008188896,-,-
2017-02-24,845.24,-0.0040225261,-0.0040144574,-,-
2017-02-27,848.64,0.0042420814,0.0042511046,-,-
2017-02-28,845.04,-0.0095143425,-0.0094693662,-,-
2017-03-01,853.08,0.0048881699,0.0049001561,-,-
2017-03-02,848.91,-0.0011426417,-0.0011419894,-,-
2017-03-03,849.88,0.003847602,0.0038550231,-,-
2017-03-06,846.61,0.000696897,0.00069714,-,-
2017-03-07,846.02,-0.0052953831,-0.0052814118,-,-
2017-03-08,850.5,-0.0029394474,-0.0029351357,-,-
2017-03-09,853,0.0006330598,0.0006332603,-,-
2017-03-10,852.46,-0.002498651,-0.0024955345,-,-
2017-03-13,854.59,0.0024105126,0.0024134226,-,-
2017-03-14,852.53,-0.0005161109,-0.0005159777,-,-
2017-03-15,852.97,-0.0005275684,-0.0005274293,-,-
2017-03-16,853.42,0.0013006492,0.0013014957,-,-
2017-03-17,852.31,-0.0054674942,-0.0054526017,-,-
2017-03-20,856.97,0.0160682404,0.0161987344,-,-
2017-03-21,843.2,-0.0057637571,-0.0057472102,-,-
2017-03-22,848.06,0.0008018301,0.0008021517,-,-
2017-03-23,847.38,0.0020887913,0.0020909759,-,-
2017-03-24,845.61,-0.0014309197,-0.0014298969,-,-
2017-03-27,846.82,-0.0108405564,-0.0107822188,-,-
2017-03-28,856,-0.0214018692,-0.0211760652,-,-
2017-03-29,874.32,-0.0023103669,-0.0023077021,-,-
2017-03-30,876.34,-0.0116393181,-0.0115721023,-,-
2017-03-31,886.54,-0.005606064,-0.0055904085,-,-
2017-04-03,891.51,-0.0171843277,-0.0170383472,-,-
2017-04-04,906.83,-0.0027017192,-0.0026980761,-,-
2017-04-05,909.28,0.0120974837,0.0121712538,-,-
2017-04-06,898.28,0.0037850114,0.0037921926,-,-
2017-04-07,894.88,-0.0135884141,-0.0134969195,-,-
2017-04-10,907.04,0.0051596401,0.0051729971,-,-
2017-04-11,902.36,0.0067932976,0.0068164771,-,-
2017-04-12,896.23,0.0128984747,0.0129823823,-,-
2017-04-13,884.67,-0.0195779217,-0.0193887394,-,-
2017-04-17,901.99,-0.0019845009,-0.0019825344,-,-
2017-04-18,903.78,0.0050676049,0.0050804888,-,-
2017-04-19,899.2,-0.003180605,-0.0031755576,-,-
2017-04-20,902.06,0.0039132652,0.003920942,-,-
2017-04-21,898.53,-0.0098828086,-0.009834293,-,-
2017-04-24,907.41,-0.0002314279,-0.0002314011,-,-
2017-04-25,907.62,-0.0018399771,-0.0018382864,-,-
2017-04-26,909.29,-0.0099968107,-0.0099471731,-,-
2017-04-27,918.38,-0.0071974564,-0.0071716783,-,-
