date,close price,arithmetic price change,log price change,standerd diviation * sqrt(250),volatility
2017-01-03,116.86,-0.0154183166,-0.0155384149,0.1693838582,16.94%
2017-01-04,118.69,-0.0164083865,-0.016544495,-,-
2017-01-05,120.67,-0.0222024147,-0.0224525984,-,-
2017-01-06,123.41,-0.0119295436,-0.0120012717,-,-
2017-01-09,124.9,0.0044229996,0.0044132469,-,-
2017-01-10,124.35,-0.0137996669,-0.0138957674,-,-
2017-01-11,126.09,-0.0041857526,-0.0041945374,-,-
2017-01-12,126.62,-0.0134019012,-0.0134925172,-,-
2017-01-13,128.34,0.003675608,0.0036688695,-,-
2017-01-17,127.87,-0.0003908693,-0.0003909457,-,-
2017-01-18,127.92,0.0029008232,0.0028966239,-,-
2017-01-19,127.55,0.0040144836,0.0040064471,-,-
2017-01-20,127.04,-0.0146591174,-0.0147676239,-,-
2017-01-23,128.93,-0.0034010976,-0.0034068945,-,-
2017-01-24,129.37,-0.0160480681,-0.0161782329,-,-
2017-01-25,131.48,-0.0097906311,-0.0098388745,-,-
2017-01-26,132.78,0.0045392646,0.0045289932,-,-
2017-01-27,132.18,0.0091617041,0.0091199903,-,-
2017-01-30,130.98,0.0050644567,0.0050516755,-,-
2017-01-31,130.32,-0.0218419275,-0.0220839937,-,-
2017-02-01,133.23,0.0182665851,0.0181017553,-,-
2017-02-02,130.84,-0.0010688655,-0.0010694371,-,-
2017-02-03,130.98,-0.0081781009,-0.008211725,-,-
2017-02-06,132.06,0.0016686893,0.0016672986,-,-
2017-02-07,131.84,-0.017585693,-0.0177421584,-,-
2017-02-08,134.2,0.0004472939,0.0004471939,-,-
2017-02-09,134.14,-0.000372606,-0.0003726754,-,-
2017-02-10,134.19,0.0010443864,0.0010438414,-,-
2017-02-13,134.05,0.0014942099,0.0014930947,-,-
2017-02-14,133.85,0.003072542,0.0030678314,-,-
2017-02-15,133.44,-0.0029886432,-0.0029931181,-,-
2017-02-16,133.84,0.0023215757,0.002318885,-,-
2017-02-17,133.53,-0.0014208794,-0.0014218899,-,-
2017-02-21,133.72,-0.0176315016,-0.0177887881,-,-
2017-02-22,136.12,0.0056146572,0.0055989538,-,-
2017-02-23,135.36,-0.0005906675,-0.000590842,-,-
2017-02-24,135.44,-0.0071109156,-0.0071363187,-,-
2017-02-27,136.41,0.0064187694,0.0063982568,-,-
2017-02-28,135.54,-0.0136806869,-0.0137751299,-,-
2017-03-01,137.42,0.0048259725,0.0048143648,-,-
2017-03-02,136.76,-0.0029889918,-0.0029934677,-,-
2017-03-03,137.17,-0.0018192403,-0.0018208971,-,-
2017-03-06,137.42,0.0008739985,0.0008736168,-,-
2017-03-07,137.3,-0.003049666,-0.0030543257,-,-
2017-03-08,137.72,-0.0037615741,-0.0037686666,-,-
2017-03-09,138.24,-0.0039628215,-0.0039706943,-,-
2017-03-10,138.79,-0.0058022923,-0.005819191,-,-
2017-03-13,139.6,0.0020097617,0.0020077448,-,-
2017-03-14,139.32,-0.0028628686,-0.0028669744,-,-
2017-03-15,139.72,-0.0019287092,-0.0019305715,-,-
2017-03-16,139.99,0.0010726545,0.0010720796,-,-
2017-03-17,139.84,-0.000714592,-0.0007148474,-,-
2017-03-20,139.94,0.0103241643,0.0102712341,-,-
2017-03-21,138.51,-0.0077369439,-0.0077670293,-,-
2017-03-22,139.59,0.0004300151,0.0004299226,-,-
2017-03-23,139.53,-0.0057716973,-0.0057884179,-,-
2017-03-24,140.34,0.0001425314,0.0001425212,-,-
2017-03-27,140.32,-0.0101580135,-0.0102099582,-,-
2017-03-28,141.76,-0.0062390466,-0.0062585908,-,-
2017-03-29,142.65,0.0016852749,0.0016838564,-,-
2017-03-30,142.41,0.0025343189,0.0025311129,-,-
2017-03-31,142.05,-0.0016165308,-0.0016178388,-,-
2017-04-03,142.28,0.0038806181,0.0038731079,-,-
2017-04-04,141.73,-0.000845964,-0.0008463221,-,-
2017-04-05,141.85,0.0048168874,0.0048053234,-,-
2017-04-06,141.17,0.0027702799,0.0027664497,-,-
2017-04-07,140.78,-0.0018434487,-0.0018451499,-,-
2017-04-10,141.04,0.008004574,0.0079727074,-,-
2017-04-11,139.92,0.0024358791,0.0024329171,-,-
2017-04-12,139.58,0.001363082,0.0013621538,-,-
2017-04-13,139.39,-0.0143544053,-0.0144584264,-,-
2017-04-17,141.42,0.0032633371,0.003258024,-,-
2017-04-18,140.96,-0.0092078442,-0.0092504985,-,-
2017-04-19,142.27,-0.0106397775,-0.0106967846,-,-
2017-04-20,143.8,0.0008351893,0.0008348407,-,-
2017-04-21,143.68,-0.0123049426,-0.0123812752,-,-
2017-04-24,145.47,-0.0069629326,-0.006987287,-,-
2017-04-25,146.49,-0.0004776201,-0.0004777342,-,-
2017-04-26,146.56,-0.007718348,-0.0077482886,-,-
2017-04-27,147.7,-0.0169717138,-0.0171173839,-,-
2017-04-28,150.25,-0.0144956054,-0.0146016931,-,-
2017-05-01,152.46,-0.002094515,-0.0020967116,-,-
2017-05-02,152.78,0.006455863,0.0064351132,-,-
2017-05-03,151.8,0.0062976467,0.0062778994,-,-
2017-05-04,150.85,0.0040601704,0.0040519501,-,-
2017-05-05,150.24,-0.0054283066,-0.0054430934,-,-
2017-05-08,151.06,0.0038543328,0.0038469239,-,-
2017-05-09,150.48,0.0012642225,0.001263424,-,-
2017-05-10,150.29,0.0016662223,0.0016648357,-,-
2017-05-11,150.04,-0.0019290893,-0.0019309524,-,-
2017-05-12,150.33,0.0009321526,0.0009317184,-,-
2017-05-15,150.19,0.0027373481,0.0027336084,-,-
2017-05-16,149.78,0.0340352088,0.0334688266,-,-
2017-05-17,144.85,-0.0190302045,-0.0192136094,-,-
2017-05-18,147.66,-0.0027016075,-0.0027052634,-,-
2017-05-19,148.06,-0.0012142472,-0.001214985,-,-
2017-05-22,148.24,0.0011481056,0.0011474471,-,-
2017-05-23,148.07,-0.013129832,-0.0132167903,-,-
2017-05-24,150.04,-0.0126349039,-0.0127154031,-,-
2017-05-25,151.96,-0.0011174653,-0.0011180902,-,-
2017-05-26,152.13,-0.0016406353,-0.0016419826,-,-
