date,close,arithmetic price change,log price log price,standerd diviation * sqrt(250),Volatility
2017-01-03,808.01,0.0002971143,0.0002970701,0.1513198973,15.13%
2017-01-04,807.77,-0.0064574057,-0.006478345,-,-
2017-01-05,813.02,-0.0147719974,-0.0148821899,-,-
2017-01-06,825.21,-0.0023815856,-0.0023844261,-,-
2017-01-09,827.18,0.0014164477,0.0014154455,-,-
2017-01-10,826.01,-0.0046393368,-0.0046501319,-,-
2017-01-11,829.86,0.0003978156,0.0003977365,-,-
2017-01-12,829.53,-0.0016968734,-0.0016983147,-,-
2017-01-13,830.94,0.0042056414,0.0041968224,-,-
2017-01-17,827.46,-0.0018817399,-0.0018835126,-,-
2017-01-18,829.02,0.0056406711,0.005624822,-,-
2017-01-19,824.37,-0.0045884299,-0.0045989891,-,-
2017-01-20,828.17,-0.0192555925,-0.0194433962,-,-
2017-01-23,844.43,-0.0060033195,-0.0060214119,-,-
2017-01-24,849.53,-0.0103908207,-0.0104451821,-,-
2017-01-25,858.45,0.0017153259,0.0017138564,-,-
2017-01-26,856.98,0.0141415098,0.0140424514,-,-
2017-01-27,845.03,0.0257334644,0.0254079317,-,-
2017-01-30,823.83,0.0044379961,0.0044281772,-,-
2017-01-31,820.19,0.0060718316,0.0060534723,-,-
2017-02-01,815.24,-0.0036907584,-0.0036975861,-,-
2017-02-02,818.26,-0.0022801263,-0.0022827298,-,-
2017-02-03,820.13,-0.0018134904,-0.0018151368,-,-
2017-02-06,821.62,-0.0091771885,-0.0092195583,-,-
2017-02-07,829.23,-0.0007832458,-0.0007835527,-,-
2017-02-08,829.88,-0.0002168518,-0.0002168753,-,-
2017-02-09,830.06,-0.0057375576,-0.0057540807,-,-
2017-02-10,834.85,-0.0048989225,-0.0049109615,-,-
2017-02-13,838.96,-0.001273764,-0.001274576,-,-
2017-02-14,840.03,0.0032365165,0.0032312903,-,-
2017-02-15,837.32,-0.0057589323,-0.0057755789,-,-
2017-02-16,842.17,-0.0051739413,-0.0051873725,-,-
2017-02-17,846.55,-0.0032027506,-0.0032078904,-,-
2017-02-21,849.27,-0.0024548957,-0.0024579139,-,-
2017-02-22,851.36,0.0004230317,0.0004229423,-,-
2017-02-23,851,0.0037626355,0.0037555745,-,-
2017-02-24,847.81,-0.0021890852,-0.0021914847,-,-
2017-02-27,849.67,0.0056099322,0.0055942551,-,-
2017-02-28,844.93,-0.0137963233,-0.0138923771,-,-
